ISIC,,Count of corresponding records in aggregatedSector_v3 (typically 1 per country from Exiobase),Exio Sector name,NACE name,Mapping,Use for BCC?,Simplified sector - to be used in product,,Slimmed,Benchmark mapping sector name,Name + benchmark (filter)
01,01,49,Cultivation of crops nec,"Crop and animal production, hunting and related service activities",Wrong mapping,,,,,"Crop and animal production, hunting and related service activities",1
0111,0111,49,Cultivation of oil seeds,"Growing of cereals (except rice), leguminous crops and oil seeds",,x,Oil seed agriculture,,,,1
0112,0112,30,Cultivation of paddy rice,Growing of rice,,x,Rice agriculture,,,,1
0113,0113,49,"Cultivation of vegetables, fruit, nuts","Growing of vegetables and melons, roots and tubers",,x,"Vegtables, fruit, nuts agriculture",,,,1
0114,0114,42,"Cultivation of sugar cane, sugar beet",Growing of sugar cane,,x,Sugar cane and beet agriculture,,,,1
0115,0115,42,"Cultivation of sugar cane, sugar beet",Growing of tobacco,Wrong mapping,,,,,,
0119,0119,49,Cultivation of crops nec,Growing of other non-perennial crops,,x,"Agriculture, Crops not elsewhere classified",,,,1
0141,0141,49,Cattle farming,Milk production and raising of dairy cattle,,,,,,,
0144,0144,49,Meat animals nec,Raising of camels and camelids,,,,,,,
0145,0145,49,Pigs farming,Raising of sheep and  goats,Wrong mapping,,,,,,
0146,0146,49,Poultry farming,Raising of swine/pigs,Wrong mapping,,,,,,
0149,0149,47,Animal products nec,Raising of other animals,Wrong mapping,,,,,,
02,02,48,"Forestry, logging and related service activities",Forestry and logging,,x,"Forestry, logging and related service activities",,,Forestry and logging,1
021,021,48,"Forestry, logging and related service activities",Silviculture and other forestry activities,,,,,,,
022,022,48,"Forestry, logging and related service activities",Logging,,,,,,,
024,024,48,"Forestry, logging and related service activities",Support services to forestry,,,,,,,
03,03,49,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing",Fishing and aquaculture,,x,Fishing and aquaculture,,,Fishing and aquaculture,1
031,031,49,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing",Fishing,,,,,,,
032 ,032 ,49,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing",#N/A,,,,,,,
052,052,47,Mining of coal and lignite; extraction of peat,Mining of lignite,,x,Coal and lignite mining and related services,,,,1
06,06,39,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",Extraction of crude petroleum and natural gas,,x,Extraction of crude petroleum and natural gas,,,,1
062,062,41,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",Extraction of natural gas,,,,,,,
07,07,45,Mining of other non-ferrous metal ores and concentrates,Mining of metal ores,,x,Metal ores mining,,,,1
071,071,38,Mining of iron ores,Mining of iron ores,,,,,,,
072,072,45,Mining of other non-ferrous metal ores and concentrates,Mining of non-ferrous metal ores,,,,,,,
0721,0721,26,Mining of uranium and thorium ores,Mining of uranium and thorium ores,,,,,,,
08,08,39,Mining of precious metal ores and concentrates,Other mining and quarrying,,x,Other mining and quarrying,,,,1
0811,0811,44,Quarrying of stone,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,,,,,
0812,0812,49,Quarrying of sand and clay,Operation of gravel and sand pits; mining of clays and kaolin,,,,,,,
089,089,39,Mining of precious metal ores and concentrates,Mining and quarrying n.e.c.,,,,,,,
09,09,48,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",Mining support service activities,,,,,,,
091,091,25,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",Support activities for petroleum and natural gas extraction,,,,,,,
10,10,49,Processing of Food products nec,Manufacture of food products,,,,,,,
1011,1011,49,Processing of meat cattle,Processing and preserving of meat,,x,Cattle meat processing ,,,,1
1012,1012,49,Processing of meat poultry,Processing and preserving of poultry meat,,x,Poultry meat processing,,,,1
1013,1013,49,Production of meat products nec,Production of meat and poultry meat products,,,,,,,
102,102,49,Manufacture of fish products,"Processing and preserving of fish, crustaceans and molluscs",,x,Fish product manufacturing,,,,1
104,104,49,Processing vegetable oils and fats,Manufacture of vegetable and animal oils and fats,,x,Vegtable oils and fats processing,,,,1
1051,1051,49,Processing of dairy products,Operation of dairies and cheese making,,x,Dairy products processing,,,,1
106,106,47,Animal products nec,"Manufacture of grain mill products, starches and starch products",,,,,,,
107,107,47,Animal products nec,Manufacture of bakery and farinaceous products,,,,,,,
1081,1081,49,Sugar refining,Manufacture of sugar,,x,Sugar manufacturing,,,,1
109,109,47,Animal products nec,Manufacture of prepared animal feeds,,,,,,,
11,11,49,Manufacture of beverages,Manufacture of beverages,,x,Beverage manufacturing,,,,1
110,110,49,Manufacture of beverages,Manufacture of beverages,,,,,,,
12,12,44,Manufacture of tobacco products,Manufacture of tobacco products,,x,Tobacco products manufacturing,,,,1
120,120,44,Manufacture of tobacco products,Manufacture of tobacco products,,,,,,,
13,13,49,Manufacture of textiles,Manufacture of textiles,,x,Textile manufacturing,,,,1
131,131,49,Manufacture of textiles,Preparation and spinning of textile fibres,,,,,,,
132,132,49,Manufacture of textiles,Weaving of textiles,,,,,,,
133,133,49,Manufacture of textiles,Finishing of textiles,,,,,,,
139,139,49,Manufacture of textiles,Manufacture of other textiles,,,,,,,
14,14,49,Manufacture of wearing apparel; dressing and dyeing of fur,Manufacture of wearing apparel,,x,Wearing apparel manufacturing,,,,1
141,141,49,Manufacture of wearing apparel; dressing and dyeing of fur,"Manufacture of wearing apparel, except fur apparel",,,,,,,
142,142,49,Manufacture of wearing apparel; dressing and dyeing of fur,Manufacture of articles of fur,,,,,,,
143,143,49,Manufacture of wearing apparel; dressing and dyeing of fur,Manufacture of knitted and crocheted apparel,,,,,,,
15,15,48,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear",Manufacture of leather and related products,,x,Leather products manufacturing,,,,1
151,151,48,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",,x,Handbags and footwear manufacturing,,,,1
1511,1511,49,Processing of dairy products,Tanning and dressing of leather; dressing and dyeing of fur,Wrong mapping,,,,,,
1519,1519,49,Processing of dairy products,#N/A,Wrong mapping,,,,,,
152,152,48,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear",Manufacture of footwear,,,,,,,
16,16,49,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",,x,"Wood and straw products manufacturing, not furniture",,,,1
162,162,49,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","Manufacture of products of wood, cork, straw and plaiting materials",,,,,,,
16291,16291,42,Manufacture of coke oven products,Manufacture of wood fuels,,,,,,,
17,17,49,Paper,Manufacture of paper and paper products,,x,Paper and paper products manufacturing,,,,1
171,171,49,Paper,"Manufacture of pulp, paper and paperboard",,,,,,,
1711,1711,49,Pulp,Manufacture of pulp,,x,Pulp manufacturing,,,,1
172,172,49,Paper,Manufacture of articles of paper and paperboard,,,,,,,
18,18,49,"Publishing, printing and reproduction of recorded media",Printing and reproduction of recorded media,,x,"Publishing, printing and reproduction of recorded media",,,,1
181,181,49,"Publishing, printing and reproduction of recorded media",Printing and service activities related to printing,,,,,,,
182,182,49,"Publishing, printing and reproduction of recorded media",Reproduction of recorded media,,,,,,,
19,19,48,Petroleum Refinery,Manufacture of coke and refined petroleum products,,,,,,,
20,20,49,Chemicals nec,Manufacture of chemicals and chemical products,,,,,,Manufacture of chemicals and chemical products,1
2011,2011,49,Chemicals nec,Manufacture of industrial gases,,,,,,,
20110,20110,49,Chemicals nec,Manufacture of industrial gases,,,,,,,
2015,2015,48,N-fertiliser,Manufacture of fertilisers and nitrogen compounds,,x,Fertiliser manufacturing,,,,1
2016,2016,49,"Plastics, basic",Manufacture of plastics in primary forms,,x,Basic plastic manufacturing,,,,1
204,204,49,Chemicals nec,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",,,,,,,
205,205,49,Chemicals nec,Manufacture of other chemical products,,x,Other chemicals manufacturing,,,,1
206,206,49,Chemicals nec,Manufacture of man-made fibres,,,,,,,
21,21,49,Chemicals nec,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,x,Pharmaceutical products manufacturing,,,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1
211,211,49,Chemicals nec,Manufacture of basic pharmaceutical products,,,,,,,
212,212,49,Chemicals nec,Manufacture of pharmaceutical preparations,,,,,,,
22,22,49,Manufacture of rubber and plastic products,Manufacture of rubber and plastic products,,x,Plastic and rubber products manufacturing,,,,1
222,222,49,Manufacture of rubber and plastic products,Manufacture of plastics products,,,,,,,
23,23,49,Manufacture of other non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,,x,Non-metallic mineral products manufacturing,,,,1
231,231,48,Manufacture of glass and glass products,Manufacture of glass and glass products,,x,Glass and glass products manufacturing,,,,1
2332,2332,49,"Manufacture of bricks, tiles and construction products, in baked clay","Manufacture of bricks, tiles and construction products, in baked clay",,,,,,,
234,234,49,Manufacture of ceramic goods,Manufacture of other porcelain and ceramic products,,x,Cermaic goods manufacturing,,,,1
235,235,49,"Manufacture of cement, lime and plaster","Manufacture of cement, lime and plaster",,x,"Cement, lime and plaster manufacturing",,,,1
24,24,49,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,Manufacture of basic metals,,,,,,,
241,241,49,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,Manufacture of basic iron and steel and of ferro-alloys,,x,Basic metals manufacturing,,,Manufacture of basic iron and steel and of ferro-alloys,1
244,244,49,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,Manufacture of basic precious and other non-ferrous metals,,,,,,,
2441,2441,49,Precious metals production,Precious metals production,,,,,,,
2442,2442,49,Aluminium production,Aluminium production,,x,Aluminium production,,,,1
